"","District","Street","Area","Num_whole_rooms","Num_half_rooms","Price","Condition","Comfort_lev","Energy_eff","Floor","Floors_in_bdg","Lift","Ceiling_height","Air_conditioning","Furnished","Overhead","Vacant_possession","Min_rental(month)","View_to","Garden","Mechanized","Pets","Smoking","Parking","Year","Balcony","Parking_fee(monthly)"
"12327",19," Ülloi út 206.",48,2,NA,135000,"like new","high",NA,1,5,"Yes","less than 3","No","Yes",19999,"immediately","1 év",NA,"No","Yes","No","No","can rent","1981-2000 ",NA,12000
"12328",1," Gellérthegy utca",72,3,NA,433680,"like new","luxury","AA++",1,NA,"Yes",NA,"Yes","No",NA,"immediately","nincs","street",NA,"Yes",NA,NA,"included",NA,NA,NA
"12329",1," Gellérthegy utca",35,1,NA,216840,"like new","luxury",NA,NA,NA,"Yes",NA,"Yes","Yes",NA,NA,"1 év","garden",NA,"Yes",NA,NA,"can rent",NA,NA,NA
"12330",12," Virányos út",98,3,NA,340000,"like new","high","AA++",1,2,NA,"3 or more","Yes","Partially",20000,"immediately","1 év","panorama","No","Yes","No","No","can rent","2015",NA,25000
"12331",9," Lechner Ödön fasor 2.",30,1,NA,126490,"like new",NA,NA,8,9,"Yes","less than 3","Yes","Yes",NA,NA,"1 év","street","No","Yes",NA,NA,NA,"2001-2010 ","8",NA
"12332",6," Eötvös utca",62,3,NA,242861,"like new","very high",NA,4,5,"Yes","3 or more","Yes","Yes",19000,"immediately","1 év","street",NA,"Yes",NA,NA,NA,"2001-2010 ","15",NA
"12333",1," Hegyalja út 28.",32,1,NA,109000,"like new","high",NA,NA,NA,NA,NA,NA,"Yes",45000,NA,"nincs","street",NA,"Yes",NA,NA,"street","1981-2000 ",NA,NA
"12334",7," Belso-Erzsébetváros",95,3,NA,722800,"renovated","luxury",NA,5,5,"Yes",NA,"Yes","Yes",NA,"immediately",NA,"panorama","No","Yes",NA,NA,"street","1950 elott","5",NA
"12335",2," Törökvész",135,4,NA,722800,"renovated","luxury",NA,1,3,"No","less than 3","Yes","By arrangement",NA,"immediately","1 év","panorama","No","Yes",NA,NA,"included",NA,"60",NA
"12336",8," Szentkirályi utca",86,3,NA,270000,"renovated","high",NA,1,4,"No","3 or more","Yes","Yes",50000,"immediately","6 hónap","street",NA,"Yes","No","No","street","1950 elott","2",NA
"12337",5," Nádor utca 20.",31,1,NA,1e+05,"renovated","high",NA,2,3,"Yes","3 or more","No","Yes",27000,"immediately","6 hónap","panorama","No",NA,"No","No","street",NA,NA,NA
"12338",11," Bercsényi utca 15.",101,5,1,449000,"like new",NA,NA,NA,3,"No","3 or more","Yes","Yes",NA,"immediately","nincs",NA,NA,NA,NA,NA,"street","2019",NA,NA
"12339",7," Király utca 13.",55,2,NA,150000,"like new",NA,NA,3,4,"Yes",NA,"Yes","Yes",45000,"immediately","1 év","yard",NA,"Yes",NA,NA,NA,NA,NA,NA
"12340",8," Szentkirályi utca 4.",40,2,NA,159000,"new","high",NA,NA,7,"Yes","less than 3","Yes","Yes",30000,"immediately","1 év",NA,NA,"Yes",NA,"No","can rent","2019",NA,39000
"12341",5," Garibaldi utca",64,2,NA,290000,"renovated","high","AA",3,5,"Yes","3 or more","Yes","Yes",64000,"immediately","1 év","street","No","Yes","No","No","street","1950 elott",NA,NA
"12342",7," Thököly út 7.",100,1,NA,55000,"renovated","very high",NA,NA,NA,"No","3 or more",NA,"Yes",12000,"immediately","1 év","street","No","Yes","No",NA,"street","1950-1980 ",NA,NA
"12343",5," Váci utca",110,4,NA,220000,"renovated","very high",NA,3,3,"No","3 or more","Yes","Yes",NA,"immediately","nincs","street","No","Yes",NA,NA,NA,NA,NA,NA
"12344",13," Dunyov István utca 16.",8,1,NA,60000,"renovated",NA,NA,NA,NA,"Yes","less than 3","Yes","Yes",NA,"immediately","nincs","street",NA,"Yes","No","No","street","1981-2000 ",NA,NA
"12345",7," Rákóczi út",120,5,NA,285000,"renovated","very high",NA,NA,6,"No",NA,"No","Yes",NA,"immediately","5 hónap","yard","No","Yes","No","No","street","1950 elott",NA,NA
"12346",6," Izabella utca",31,1,NA,130000,"good","high",NA,NA,4,"No","3 or more",NA,NA,NA,NA,NA,"street","No",NA,NA,NA,"street","1950-1980 ",NA,NA
"12347",5," Károly körút 8.",140,4,NA,450000,"good",NA,NA,1,NA,"No","3 or more",NA,NA,NA,NA,"1 év",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12348",2," Ady Endre utca",165,3,NA,670000,"renovated","very high","BB",NA,3,"No","less than 3","Yes","Yes",70000,"immediately","3 hónap","garden","Yes","Yes","Yes","No","can rent","2020","25",35000
"12349",13," Újpesti rakpart",116,5,NA,470000,"renovated","average",NA,1,4,"Yes",NA,"Yes","No",20000,"immediately","nincs","street","No",NA,"No",NA,"street",NA,"3",NA
"12350",2," Ürömi utca",75,2,1,280000,"like new","high",NA,2,2,"Yes",NA,"Yes","Yes",30000,"immediately","nincs","panorama","No","Yes","No",NA,"included",NA,"30",NA
"12351",2," Fillér utca 21.",55,2,NA,199000,"renovated","high",NA,NA,NA,NA,"less than 3",NA,"Yes",NA,"immediately","6 hónap","garden","No","Yes",NA,"No",NA,NA,NA,NA
"12352",5," Nádor utca",52,2,1,160000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nincs",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12353",20," Téglagyár tér 12.",35,1,NA,1e+05,"renovated","high",NA,3,4,"No","less than 3","No","No",20000,"immediately","1 év","street",NA,"Yes",NA,NA,"street",NA,NA,NA
"12354",5," Október 6. utca 22.",75,3,NA,350000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nincs",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12355",6," Király utca 32.",50,2,NA,175000,"new",NA,NA,4,8,"Yes","less than 3","Yes","Yes",30000,"immediately","6 hónap","street","Yes","Yes",NA,NA,"can rent","2001-2010 ","6",30000
"12356",6," Lovag utca",32,1,NA,1e+05,"fair",NA,NA,1,3,NA,NA,NA,"Yes",20000,"immediately","1 év",NA,NA,"Yes","No",NA,NA,NA,NA,NA
"12357",9," Lónyay utca 46.",36,1,NA,129000,"like new","luxury","AA+",1,4,"Yes","3 or more","Yes","Yes",29000,"immediately","3 hónap","street","No","Yes","Yes",NA,"street","1950 elott",NA,NA
"12358",11," Kondorosi út",37,1,NA,85000,NA,NA,NA,NA,NA,NA,NA,NA,NA,25000,NA,"nincs",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12359",2," Felhévíz",40,1,NA,144560,"like new","average",NA,NA,NA,"Yes",NA,NA,NA,25000,"immediately","1 év",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12360",7," Százház utca",42,2,NA,115000,"like new","high",NA,6,7,"Yes","less than 3","No","Yes",25000,"immediately","nincs","street","No","Yes","No","No","street",NA,NA,NA
"12361",7," Peterdy utca 30.",35,1,NA,1e+05,"good","high","AA",0.5,3,"No","3 or more","No","Yes",10000,"immediately","1 év","yard","No","Yes","No","No","street","1950 elott",NA,NA
